kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3867615,K02289.01,Kepler-379 c,1,0.944,0,0,0,0,62.7843981,157.30698,0.272,4.81,3.25E+02,2.28,530,18.7,21.1,1,q1_q17_dr25_tce,6053,4.279,1.26,295.70111,38.945831,13.358
11560897,K02365.01,Kepler-430 b,1,0.998,0,0,0,0,35.9682692,138.66885,0.883,2.839,2.70E+02,2.95,674,48.68,21,1,q1_q17_dr25_tce,5883,4.149,1.529,292.80865,49.579441,13.848
11342416,K02366.01,Kepler-1209 b,1,0.998,0,0,0,0,25.3690868,143.68699,0.845,4.746,1.10E+02,1.67,755,76.9,21.6,1,q1_q17_dr25_tce,6126,4.224,1.406,287.5849,49.154789,12.476
4254466,K02134.01,Kepler-1113 b,1,0.912,0,0,0,0,42.3006282,168.77783,0.269,4.372,5.08E+02,2.54,558,22.94,23.8,1,q1_q17_dr25_tce,5852,4.353,1.129,289.40671,39.33884,14.766
5801571,K00225.01,,0,0,0,1,0,0,0.838597429,141.537817,1.274,1.68668,2.48E+03,44.67,2278,6353.25,303.7,1,q1_q17_dr25_tce,6366,4.352,1.236,294.9133,41.074711,14.784
9904006,K02135.01,Kepler-361 c,1,0.979,0,0,0,0,55.1866213,180.75953,0.225,9.133,3.76E+02,2.47,568,24.56,36.2,1,q1_q17_dr25_tce,6178,4.269,1.267,296.80344,46.74115,13.573
5288570,K02136.01,,0,0,0,0,1,1,1.728528176,131.80851,0.787,3.682,1.98E+02,5.07,2720,12977.86,26.2,1,q1_q17_dr25_tce,6153,3.597,3.279,295.50107,40.410225,12.99
9364609,K02137.01,Kepler-1114 b,1,0.997,0,0,0,0,14.97436238,141.50057,0.092,2.4461,2.65E+02,1.28,631,37.53,24.9,1,q1_q17_dr25_tce,5311,4.532,0.8,299.23694,45.834702,13.747
7457296,K02213.01,Kepler-1145 b,1,1,0,0,0,0,3.97076603,134.63962,0.775,1.814,3.49E+02,1.6,958,198.43,23.9,1,q1_q17_dr25_tce,5178,4.521,0.778,295.30817,43.044411,15.443
10328458,K02214.01,Kepler-1146 b,1,0.994,0,0,0,0,2.352273912,131.80267,0.095,1.7389,3.19E+02,1.29,1019,255.03,20.4,1,q1_q17_dr25_tce,4816,4.608,0.748,286.71661,47.425629,15.848
7050060,K02215.01,,0,0,0,0,1,0,22.0425953,134.1281,1.191,61.2018,3.48E+02,28.78,760,78.85,90.4,1,q1_q17_dr25_tce,5974,4.216,1.26,296.25507,42.53022,12.999
8321314,K02293.01,Kepler-1683 b,1,1,0,0,0,0,15.03366411,144.98055,0.01,3.272,3.75E+02,1.7,669,47.32,22.2,1,q1_q17_dr25_tce,5523,4.526,0.891,298.45013,44.284012,14.837
11498128,K02296.01,Kepler-1177 b,1,0.99,0,0,0,0,106.247882,135.7435,0.586,13.78,3.97E+02,2.01,377,4.75,24,1,q1_q17_dr25_tce,5679,4.435,0.972,286.67145,49.406288,14.552
